requisition_id,main_equipment_name,equipment_serial_no,motor_manufacturing_year,application_use,installed_location,installed_qty,make,model,frame,size,power_rating,kw,kva,rpm,duty_cycle,voltage,current,received_date,received_time,defects_observed,repairs_required,reason_of_failure_id,reason_of_failure_text,warranty_status,previous_refurbishment_job_no,spares_details,service_type_id,service_type_text,equipment_type_id,equipment_type_text,bearing_id,bearing_text,status,created_at,updated_at,created_by,updated_by
1,Pump Motor,EQ10000,2006,Compressor Driving,Sinter Plant,1,Toshiba,H297,D90L,3.7 KW,3.73,3.7,4.08,750,Continuous (S1),415,5.74,2025-07-22,08:19:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing NU 206,2,Bearing Replacement,3,Pump Motor,7,NU 206,CLOSED,2025-07-22 00:00:00,2025-08-04 00:00:00,operator_02,supervisor_07
2,AC Motor,EQ10001,2015,Compressor Driving,Blast Furnace,1,Toshiba,E896,D280M,30.0 KW,29.88,30.0,36.48,750,Continuous (S1),440,47.99,2024-05-20,11:06:00,Excessive vibration from drive end bearing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 22210 E,2,Bearing Replacement,1,AC Motor,10,22210 E,CLOSED,2024-05-20 00:00:00,2024-05-30 00:00:00,operator_17,supervisor_06
3,Pump Motor,EQ10002,2002,Cooling Tower Fan,Blast Furnace,1,ABB,D437,D250M,400.0 KW,392.21,400.0,450.43,3000,Continuous with Intermittent Load (S6),6600,39.21,2024-05-10,13:44:00,"Winding burnt, motor tripped on overload",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,1,6205 2RS,CLOSED,2024-05-10 00:00:00,2024-05-24 00:00:00,operator_18,supervisor_05
4,AC Motor,EQ10003,2017,Cooling Tower Fan,Blast Furnace,1,Siemens,D966,D180L,22.0 KW,22.22,22.0,25.61,1000,Continuous (S1),3300,4.34,2025-07-04,11:41:00,Air gap irregularity detected,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",4,Alignment Correction,1,AC Motor,4,6306 2RS,DISPATCHED,2025-07-04 00:00:00,2025-07-15 00:00:00,operator_11,supervisor_07
5,Blower Motor,EQ10004,2011,Pump Driving,Blast Furnace,1,ABB,E712,D280M,11.0 KW,11.01,11.0,12.9,1500,Periodic (S5),3300,2.27,2025-09-16,12:18:00,Moisture ingress caused insulation degradation,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,4,Blower Motor,6,6308 2RS,CLOSED,2025-09-16 00:00:00,2025-09-21 00:00:00,operator_15,supervisor_05
6,DC Motor,EQ10005,2016,Mixer Agitator,Hot Strip Mill,1,Kirloskar,S890,D355M,7.5 KW,7.44,7.5,8.7,750,Continuous (S1),415,11.97,2023-03-25,20:51:00,Inter-turn short circuit detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,2,DC Motor,1,6205 2RS,CLOSED,2023-03-25 00:00:00,2023-04-21 00:00:00,operator_19,supervisor_03
7,Blower Motor,EQ10006,2015,Cooling Tower Fan,Sinter Plant,1,WEG,E494,D132S,30.0 KW,29.84,30.0,34.68,3000,Short Time (S2),3300,5.82,2024-03-14,19:49:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,4,Blower Motor,11,N/A,CLOSED,2024-03-14 00:00:00,2024-03-26 00:00:00,operator_12,supervisor_03
8,Crane Motor,EQ10007,2015,Fan/Blower Driving,Hot Strip Mill,1,Bharat Bijlee,E659,D280S,2.2 KW,2.2,2.2,2.51,3000,Continuous (S1),440,3.38,2023-03-16,12:24:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6205 2RS,2,Bearing Replacement,5,Crane Motor,1,6205 2RS,CLOSED,2023-03-16 00:00:00,2023-04-07 00:00:00,operator_12,supervisor_02
9,AC Motor,EQ10008,1998,Cooling Tower Fan,Bar Mill,1,Crompton Greaves,H760,D225M,15.0 KW,15.02,15.0,17.99,1500,Continuous (S1),440,23.85,2025-04-25,13:08:00,"Rotor bars broken, abnormal sound",Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,2,6206 2RS,CLOSED,2025-04-25 00:00:00,2025-05-21 00:00:00,operator_18,supervisor_01
10,AC Motor,EQ10009,1997,Mixer Agitator,Cold Rolling Mill,1,Siemens,S166,D160M,2.2 KW,2.18,2.2,2.55,1000,Continuous (S1),415,3.69,2025-04-28,16:30:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,3,6305 2RS,CLOSED,2025-04-28 00:00:00,2025-05-10 00:00:00,operator_04,supervisor_04
11,Pump Motor,EQ10010,2020,Crane Hoisting,Hot Strip Mill,1,Siemens,S515,D280S,7.5 KW,7.56,7.5,8.59,1000,Continuous (S1),415,11.93,2024-02-11,18:16:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6305 2RS,2,Bearing Replacement,3,Pump Motor,3,6305 2RS,CLOSED,2024-02-11 00:00:00,2024-02-25 00:00:00,operator_06,supervisor_03
12,DC Motor,EQ10011,2000,Rolling Mill Drive,Blast Furnace,1,Siemens,E313,D315S,1.5 KW,1.48,1.5,1.69,1000,Periodic (S5),415,2.4,2025-05-05,10:55:00,Excessive vibration from drive end bearing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6206 2RS,2,Bearing Replacement,2,DC Motor,2,6206 2RS,CLOSED,2025-05-05 00:00:00,2025-05-27 00:00:00,operator_01,supervisor_02
13,AC Motor,EQ10012,2023,Rolling Mill Drive,Bar Mill,1,Crompton Greaves,S845,D315S,30.0 KW,30.11,30.0,34.69,1500,Continuous (S1),440,45.76,2024-10-29,13:59:00,Insulation resistance below acceptable limit,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,2,6206 2RS,CLOSED,2024-10-29 00:00:00,2024-11-01 00:00:00,operator_10,supervisor_04
14,Pump Motor,EQ10013,2015,Conveyor Belt,Power Plant,1,Crompton Greaves,D574,D112M,18.5 KW,18.16,18.5,21.71,3000,Short Time (S2),415,29.26,2023-10-07,13:41:00,"Winding overheated, discoloration visible",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,3,6305 2RS,CLOSED,2023-10-07 00:00:00,2023-10-11 00:00:00,operator_05,supervisor_01
15,AC Motor,EQ10014,1995,Cooling Tower Fan,Bar Mill,1,Kirloskar,D289,D180L,3.7 KW,3.68,3.7,4.05,1500,Continuous (S1),415,5.43,2023-03-04,20:25:00,Low megger value on phases,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,2,6206 2RS,CLOSED,2023-03-04 00:00:00,2023-03-11 00:00:00,operator_14,supervisor_05
16,Blower Motor,EQ10015,2003,Crane Hoisting,Hot Strip Mill,1,Bharat Bijlee,D834,D100L,18.5 KW,18.6,18.5,20.34,750,Continuous (S1),415,29.42,2024-02-13,12:37:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing N/A,2,Bearing Replacement,4,Blower Motor,11,N/A,DISPATCHED,2024-02-13 00:00:00,2024-02-28 00:00:00,operator_10,supervisor_02
17,Crane Motor,EQ10016,2014,Hydraulic Press,Power Plant,1,Havells,K973,D100L,110.0 KW,110.36,110.0,122.42,3000,Continuous (S1),3300,21.78,2025-05-21,08:22:00,Insulation resistance below acceptable limit,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,5,Crane Motor,7,NU 206,DISPATCHED,2025-05-21 00:00:00,2025-06-09 00:00:00,operator_09,supervisor_03
18,AC Motor,EQ10017,2023,Conveyor Belt,Cold Rolling Mill,1,Siemens,E715,D160L,15.0 KW,14.81,15.0,18.25,1000,Continuous (S1),3300,3.19,2023-08-22,14:51:00,Inter-turn short circuit detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,2,6206 2RS,CLOSED,2023-08-22 00:00:00,2023-09-01 00:00:00,operator_04,supervisor_03
