requisition_id,main_equipment_name,equipment_serial_no,motor_manufacturing_year,application_use,installed_location,installed_qty,make,model,frame,size,power_rating,kw,kva,rpm,duty_cycle,voltage,current,received_date,received_time,defects_observed,repairs_required,reason_of_failure_id,reason_of_failure_text,warranty_status,previous_refurbishment_job_no,spares_details,service_type_id,service_type_text,equipment_type_id,equipment_type_text,bearing_id,bearing_text,status,created_at,updated_at,created_by,updated_by,motor_age_years,repair_count,days_since_last_repair,previous_refurb_count,bearing_failure_count,winding_failure_count,rotor_failure_count,insulation_failure_count,dept_failure_rate,make_failure_rate,duty_cycle_encoded,make_encoded,equipment_type_encoded,application_use_encoded,health_score,risk_category,risk_label
1296,Pump Motor,EQ10000,2006,Compressor Driving,Sinter Plant,1,Toshiba,S705,D90L,3.7 KW,3.73,3.7,4.08,750,Continuous (S1),415,5.74,2023-02-22,17:37:00,"Winding burnt, motor tripped on overload",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,11,,CLOSED,2023-02-22 00:00:00,2023-02-26 00:00:00,operator_13,supervisor_07,20,1,1095.0,1,0,1,0,0,4.419354838709677,3.4375,0,8,5,0,76.4,0,LOW
1198,Pump Motor,EQ10000,2006,Compressor Driving,Sinter Plant,1,Toshiba,K721,D90L,3.7 KW,3.73,3.7,4.08,750,Continuous (S1),415,5.74,2023-12-31,09:43:00,Excessive vibration from drive end bearing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-52586,Bearing 22210 E,2,Bearing Replacement,3,Pump Motor,10,22210 E,CLOSED,2023-12-31 00:00:00,2024-01-22 00:00:00,operator_01,supervisor_02,20,2,312.0,2,1,1,0,0,4.419354838709677,3.4375,0,8,5,0,60.1,1,MEDIUM
1,Pump Motor,EQ10000,2006,Compressor Driving,Sinter Plant,1,Toshiba,H297,D90L,3.7 KW,3.73,3.7,4.08,750,Continuous (S1),415,5.74,2025-07-22,08:19:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing NU 206,2,Bearing Replacement,3,Pump Motor,7,NU 206,CLOSED,2025-07-22 00:00:00,2025-08-04 00:00:00,operator_02,supervisor_07,20,3,569.0,3,2,1,0,0,4.419354838709677,3.4375,0,8,5,0,60.3,1,MEDIUM
1734,AC Motor,EQ10001,2015,Compressor Driving,Blast Furnace,1,Toshiba,M685,D280M,30.0 KW,29.88,30.0,36.48,750,Continuous (S1),440,47.99,2024-01-17,06:14:00,"Bearing seized, motor stalled",Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-77607,Bearing 6307 2RS,2,Bearing Replacement,1,AC Motor,5,6307 2RS,CLOSED,2024-01-17 00:00:00,2024-02-11 00:00:00,operator_11,supervisor_04,11,1,1095.0,1,1,0,0,0,3.8405797101449277,3.4375,0,8,0,0,86.2,0,LOW
1618,AC Motor,EQ10001,2015,Compressor Driving,Blast Furnace,1,Toshiba,S533,D280M,30.0 KW,29.88,30.0,36.48,750,Continuous (S1),440,47.99,2024-05-05,14:59:00,"Cooling fan damaged, inadequate cooling",Cooling system repaired. Fan replaced. Ventilation passages cleaned.,5,Overheating,Out of Warranty,JOB-54758,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,11,,CLOSED,2024-05-05 00:00:00,2024-05-27 00:00:00,operator_15,supervisor_06,11,2,109.0,2,1,0,0,0,3.8405797101449277,3.4375,0,8,0,0,58.9,1,MEDIUM
2,AC Motor,EQ10001,2015,Compressor Driving,Blast Furnace,1,Toshiba,E896,D280M,30.0 KW,29.88,30.0,36.48,750,Continuous (S1),440,47.99,2024-05-20,11:06:00,Excessive vibration from drive end bearing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 22210 E,2,Bearing Replacement,1,AC Motor,10,22210 E,CLOSED,2024-05-20 00:00:00,2024-05-30 00:00:00,operator_17,supervisor_06,11,3,15.0,3,2,0,0,0,3.8405797101449277,3.4375,0,8,0,0,55.2,1,MEDIUM
1519,Pump Motor,EQ10002,2002,Cooling Tower Fan,Blast Furnace,1,ABB,K454,D250M,400.0 KW,392.21,400.0,450.43,3000,Continuous with Intermittent Load (S6),6600,39.21,2023-12-30,08:13:00,"Winding overheated, discoloration visible",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-19952,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,5,6307 2RS,DISPATCHED,2023-12-30 00:00:00,2024-01-12 00:00:00,operator_06,supervisor_03,24,1,1095.0,1,0,1,0,0,3.8405797101449277,4.428571428571429,1,0,5,2,63.9,1,MEDIUM
3,Pump Motor,EQ10002,2002,Cooling Tower Fan,Blast Furnace,1,ABB,D437,D250M,400.0 KW,392.21,400.0,450.43,3000,Continuous with Intermittent Load (S6),6600,39.21,2024-05-10,13:44:00,"Winding burnt, motor tripped on overload",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,1,6205 2RS,CLOSED,2024-05-10 00:00:00,2024-05-24 00:00:00,operator_18,supervisor_05,24,2,132.0,2,0,2,0,0,3.8405797101449277,4.428571428571429,1,0,5,2,42.4,2,HIGH
1986,Pump Motor,EQ10002,2002,Cooling Tower Fan,Blast Furnace,1,ABB,D793,D250M,400.0 KW,392.21,400.0,450.43,3000,Continuous with Intermittent Load (S6),6600,39.21,2024-11-27,16:51:00,Rotor eccentricity observed,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,5,6307 2RS,CLOSED,2024-11-27 00:00:00,2024-12-11 00:00:00,operator_07,supervisor_06,24,3,201.0,3,0,2,1,0,3.8405797101449277,4.428571428571429,1,0,5,2,35.1,2,HIGH
1214,Pump Motor,EQ10002,2002,Cooling Tower Fan,Blast Furnace,1,ABB,S604,D250M,400.0 KW,392.21,400.0,450.43,3000,Continuous with Intermittent Load (S6),6600,39.21,2025-02-24,12:41:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,6,6308 2RS,DISPATCHED,2025-02-24 00:00:00,2025-03-18 00:00:00,operator_10,supervisor_02,24,4,89.0,4,0,3,1,0,3.8405797101449277,4.428571428571429,1,0,5,2,26.2,3,CRITICAL
